"gene_id","gene_name","seq_name","gene_biotype","description"
"ENSG00000248527","MTATP6P1","1","unprocessed_pseudogene","MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]"
"ENSG00000198744","MTCO3P12","1","unprocessed_pseudogene","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]"
"ENSG00000268663","WBP1LP6","1","processed_pseudogene","WBP1L pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:43956]"
"ENSG00000284662","OR4F16","1","protein_coding","olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]"
"ENSG00000229376","CICP3","1","processed_pseudogene","capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742]"
"ENSG00000228327","AL669831.1","1","transcribed_unprocessed_pseudogene","general transcription factor IIi (GTF2I) pseudogene"
"ENSG00000223181","RNU6-1199P","1","snRNA","RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162]"
"ENSG00000229905","AL669831.2","1","lncRNA","novel transcript"
"ENSG00000237491","LINC01409","1","lncRNA","long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]"
"ENSG00000285268","AL669831.6","1","transcribed_processed_pseudogene","novel septin family pseudogene"
"ENSG00000230092","AL669831.4","1","transcribed_unprocessed_pseudogene","F-box only protein 25 (FBXO25) pseudogene"
"ENSG00000177757","FAM87B","1","lncRNA","family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236]"
"ENSG00000228794","LINC01128","1","lncRNA","long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]"
"ENSG00000225880","LINC00115","1","lncRNA","long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]"
"ENSG00000230368","FAM41C","1","lncRNA","family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635]"
"ENSG00000234711","TUBB8P11","1","unprocessed_pseudogene","tubulin beta 8 class VIII pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:32337]"
"ENSG00000283040","AL669831.5","1","transcribed_unprocessed_pseudogene","FAM166A, pseudogene P3"
"ENSG00000272438","AL645608.6","1","lncRNA","novel transcript"
"ENSG00000230699","AL645608.2","1","lncRNA","novel transcript"
"ENSG00000241180","AL645608.4","1","lncRNA","novel transcript"
"ENSG00000223764","LINC02593","1","lncRNA","long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]"
"ENSG00000187634","SAMD11","1","protein_coding","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]"
"ENSG00000188976","NOC2L","1","protein_coding","NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517]"
"ENSG00000187961","KLHL17","1","protein_coding","kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023]"
"ENSG00000187583","PLEKHN1","1","protein_coding","pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284]"
"ENSG00000187642","PERM1","1","protein_coding","PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208]"
"ENSG00000272512","AL645608.7","1","lncRNA","novel transcript"
"ENSG00000188290","HES4","1","protein_coding","hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149]"
"ENSG00000187608","ISG15","1","protein_coding","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]"
"ENSG00000231702","AL645608.3","1","processed_pseudogene","ribosomal protein L39 (RPL39) pseudogene"
"ENSG00000224969","AL645608.1","1","lncRNA","novel transcript"
"LRG_1231","ISG15","1","LRG_gene","ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]"
"ENSG00000188157","AGRN","1","protein_coding","agrin [Source:HGNC Symbol;Acc:HGNC:329]"
"LRG_198","AGRN","1","LRG_gene","agrin [Source:HGNC Symbol;Acc:HGNC:329]"
"ENSG00000242590","AL645608.5","1","lncRNA","novel transcript"
"ENSG00000217801","AL390719.1","1","transcribed_unprocessed_pseudogene","protein tyrosine phosphatase family pseudogene"
"ENSG00000273443","AL645608.8","1","lncRNA","novel transcript"
"ENSG00000237330","RNF223","1","protein_coding","ring finger protein 223 [Source:HGNC Symbol;Acc:HGNC:40020]"
"ENSG00000131591","C1orf159","1","protein_coding","chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]"
"ENSG00000285812","AL390719.3","1","lncRNA","novel transcript, antisense to C1orf159"
"ENSG00000223823","LINC01342","1","lncRNA","long intergenic non-protein coding RNA 1342 [Source:HGNC Symbol;Acc:HGNC:50551]"
"ENSG00000207730","MIR200B","1","miRNA","microRNA 200b [Source:HGNC Symbol;Acc:HGNC:31579]"
"ENSG00000207607","MIR200A","1","miRNA","microRNA 200a [Source:HGNC Symbol;Acc:HGNC:31578]"
"ENSG00000198976","MIR429","1","miRNA","microRNA 429 [Source:HGNC Symbol;Acc:HGNC:13784]"
"ENSG00000272141","AL390719.2","1","lncRNA","novel transcript"
"ENSG00000205231","TTLL10-AS1","1","lncRNA","TTLL10 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41159]"
"ENSG00000162571","TTLL10","1","protein_coding","tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]"
"ENSG00000186891","TNFRSF18","1","protein_coding","TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]"
"ENSG00000186827","TNFRSF4","1","protein_coding","TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]"
"LRG_1319","TNFRSF4","1","LRG_gene","TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]"
"ENSG00000078808","SDF4","1","protein_coding","stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]"
"ENSG00000176022","B3GALT6","1","protein_coding","beta-1,3-galactosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:17978]"
"ENSG00000184163","C1QTNF12","1","protein_coding","C1q and TNF related 12 [Source:HGNC Symbol;Acc:HGNC:32308]"
"ENSG00000260179","AL162741.1","1","lncRNA","novel transcript"
"ENSG00000160087","UBE2J2","1","protein_coding","ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]"
"ENSG00000230415","LINC01786","1","lncRNA","long intergenic non-protein coding RNA 1786 [Source:HGNC Symbol;Acc:HGNC:52575]"
"ENSG00000162572","SCNN1D","1","protein_coding","sodium channel epithelial 1 delta subunit [Source:HGNC Symbol;Acc:HGNC:10601]"
"ENSG00000131584","ACAP3","1","protein_coding","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]"
"ENSG00000278073","MIR6726","1","miRNA","microRNA 6726 [Source:HGNC Symbol;Acc:HGNC:50009]"
"ENSG00000169972","PUSL1","1","protein_coding","pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]"
"ENSG00000127054","INTS11","1","protein_coding","integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]"
"ENSG00000283712","MIR6727","1","miRNA","microRNA 6727 [Source:HGNC Symbol;Acc:HGNC:50171]"
"ENSG00000240731","AL139287.1","1","lncRNA","novel transcript"
"ENSG00000224051","CPTP","1","protein_coding","ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116]"
"ENSG00000169962","TAS1R3","1","protein_coding","taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]"
"ENSG00000107404","DVL1","1","protein_coding","dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]"
"ENSG00000284372","MIR6808","1","miRNA","microRNA 6808 [Source:HGNC Symbol;Acc:HGNC:50046]"
"ENSG00000162576","MXRA8","1","protein_coding","matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]"
"ENSG00000175756","AURKAIP1","1","protein_coding","aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114]"
"ENSG00000223663","NDUFB4P8","1","processed_pseudogene","NADH:ubiquinone oxidoreductase subunit B4 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:45256]"
"ENSG00000221978","CCNL2","1","protein_coding","cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570]"
"ENSG00000224870","MRPL20-AS1","1","lncRNA","MRPL20 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27125]"
"ENSG00000242485","MRPL20","1","protein_coding","mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478]"
"ENSG00000264293","RN7SL657P","1","misc_RNA","RNA, 7SL, cytoplasmic 657, pseudogene [Source:HGNC Symbol;Acc:HGNC:46673]"
"ENSG00000272455","AL391244.2","1","lncRNA","novel transcript"
"ENSG00000235098","ANKRD65","1","protein_coding","ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]"
"ENSG00000225905","AL391244.1","1","lncRNA","novel transcript"
"ENSG00000205116","TMEM88B","1","protein_coding","transmembrane protein 88B [Source:HGNC Symbol;Acc:HGNC:37099]"
"ENSG00000225285","LINC01770","1","lncRNA","long intergenic non-protein coding RNA 1770 [Source:HGNC Symbol;Acc:HGNC:52560]"
"ENSG00000179403","VWA1","1","protein_coding","von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910]"
"ENSG00000215915","ATAD3C","1","protein_coding","ATPase family AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]"
"ENSG00000160072","ATAD3B","1","protein_coding","ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]"
"ENSG00000284740","AL645728.2","1","transcribed_unprocessed_pseudogene","ATPase family, AAA domain containing 3C (ATAD3C) pseudogene"
"ENSG00000197785","ATAD3A","1","protein_coding","ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]"
"ENSG00000205090","TMEM240","1","protein_coding","transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186]"
"ENSG00000160075","SSU72","1","protein_coding","SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]"
"ENSG00000215014","AL645728.1","1","lncRNA","novel transcript"
"ENSG00000274481","AL691432.3","1","processed_pseudogene","sulfiredoxin 1 (SRXN1) pseudogene"
"ENSG00000228594","FNDC10","1","protein_coding","fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]"
"ENSG00000286989","AL691432.4","1","lncRNA","novel transcript"
"ENSG00000272106","AL691432.2","1","lncRNA","artifact"
"ENSG00000197530","MIB2","1","protein_coding","mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]"
"ENSG00000189409","MMP23B","1","protein_coding","matrix metallopeptidase 23B [Source:HGNC Symbol;Acc:HGNC:7171]"
"ENSG00000248333","CDK11B","1","protein_coding","cyclin dependent kinase 11B [Source:HGNC Symbol;Acc:HGNC:1729]"
"ENSG00000272004","FO704657.1","1","lncRNA","novel transcript, antisense to SLC35E2B"
"ENSG00000189339","SLC35E2B","1","protein_coding","solute carrier family 35 member E2B [Source:HGNC Symbol;Acc:HGNC:33941]"
"ENSG00000269737","AL691432.1","1","transcribed_processed_pseudogene","ribosomal protein S7 (RPS7) pseudogene"
"ENSG00000215914","MMP23A","1","unprocessed_pseudogene","matrix metallopeptidase 23A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7170]"
"ENSG00000008128","CDK11A","1","protein_coding","cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]"
"ENSG00000268575","AL031282.2","1","lncRNA","novel transcript, readthrough between SLC35E2 and CDK11A"
"ENSG00000227775","AL031282.1","1","transcribed_processed_pseudogene","ribosomal protein S7 (RPS7) pseudogene"
"ENSG00000215790","SLC35E2A","1","protein_coding","solute carrier family 35 member E2A [Source:HGNC Symbol;Acc:HGNC:20863]"
"ENSG00000008130","NADK","1","protein_coding","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]"
"ENSG00000078369","GNB1","1","protein_coding","G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]"
"ENSG00000231050","AL109917.1","1","lncRNA","novel transcript"
"ENSG00000169885","CALML6","1","protein_coding","calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]"
"ENSG00000178821","TMEM52","1","protein_coding","transmembrane protein 52 [Source:HGNC Symbol;Acc:HGNC:27916]"
"ENSG00000142609","CFAP74","1","protein_coding","cilia and flagella associated protein 74 [Source:HGNC Symbol;Acc:HGNC:29368]"
"ENSG00000233542","AL391845.2","1","lncRNA","novel transcript"
"ENSG00000187730","GABRD","1","protein_coding","gamma-aminobutyric acid type A receptor delta subunit [Source:HGNC Symbol;Acc:HGNC:4084]"
"ENSG00000226969","AL391845.1","1","lncRNA","novel transcript"
"ENSG00000067606","PRKCZ","1","protein_coding","protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]"
"ENSG00000271806","AL590822.2","1","lncRNA","novel transcript, antisense PRKCZ"
"ENSG00000182873","PRKCZ-AS1","1","lncRNA","PRKCZ antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40477]"
"ENSG00000162585","FAAP20","1","protein_coding","FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]"
"ENSG00000234396","AL590822.1","1","lncRNA","novel transcript"
"ENSG00000157933","SKI","1","protein_coding","SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]"
"ENSG00000287356","AL590822.3","1","lncRNA","novel transcript, antisense to MORN1"
"ENSG00000116151","MORN1","1","protein_coding","MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]"
"ENSG00000272161","AL589739.1","1","lncRNA","novel transcript, sense intronic to MORN1"
"ENSG00000269896","AL513477.1","1","transcribed_processed_pseudogene","small nuclear ribonucleoprotein N (SNRPN) pseudogene"
"ENSG00000272420","AL513477.2","1","lncRNA","novel transcript, sense intronic to MORN1"
"ENSG00000157916","RER1","1","protein_coding","retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]"
"ENSG00000157911","PEX10","1","protein_coding","peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]"
"ENSG00000149527","PLCH2","1","protein_coding","phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]"
"ENSG00000224387","AL139246.1","1","lncRNA","novel transcript"
"ENSG00000229393","AL139246.4","1","lncRNA","novel transcript"
"ENSG00000157881","PANK4","1","protein_coding","pantothenate kinase 4 [Source:HGNC Symbol;Acc:HGNC:19366]"
"ENSG00000197921","HES5","1","protein_coding","hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]"
"ENSG00000272449","AL139246.5","1","lncRNA","novel transcript"
"ENSG00000238164","TNFRSF14-AS1","1","lncRNA","TNFRSF14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26966]"
"ENSG00000157873","TNFRSF14","1","protein_coding","TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]"
"ENSG00000225931","AL139246.2","1","TEC","novel transcript"
"ENSG00000228037","AL139246.3","1","lncRNA","novel transcript"
"ENSG00000157870","PRXL2B","1","protein_coding","peroxiredoxin like 2B [Source:HGNC Symbol;Acc:HGNC:28390]"
"ENSG00000142606","MMEL1","1","protein_coding","membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]"
"ENSG00000237058","AL831784.1","1","lncRNA","novel transcript"
"ENSG00000215912","TTC34","1","protein_coding","tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]"
"ENSG00000285945","AC242022.2","1","lncRNA","novel transcript, antisense to TTC34"
"ENSG00000283259","AC242022.1","1","lncRNA","novel transcript, antisense to TTC34"
"ENSG00000233234","AL592464.2","1","lncRNA","novel transcript"
"ENSG00000287396","AL592464.3","1","lncRNA","novel transcript"
"ENSG00000231630","AL592464.1","1","lncRNA","novel transcript"
"ENSG00000284745","AL589702.1","1","lncRNA","novel transcript"
"ENSG00000169717","ACTRT2","1","protein_coding","actin related protein T2 [Source:HGNC Symbol;Acc:HGNC:24026]"
"ENSG00000177133","PRDM16-DT","1","lncRNA","PRDM16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:48664]"
"ENSG00000142611","PRDM16","1","protein_coding","PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]"
"ENSG00000283572","MIR4251","1","miRNA","microRNA 4251 [Source:HGNC Symbol;Acc:HGNC:38370]"
"ENSG00000226286","AL008733.1","1","lncRNA","novel transcript"
"ENSG00000279839","AL512383.1","1","TEC","TEC"
"ENSG00000272235","AL590438.1","1","lncRNA","novel transcript"
"ENSG00000287828","AL354743.2","1","lncRNA","novel transcript, antisense to PRDM16"
"ENSG00000286518","AL354743.1","1","lncRNA","novel transcript, antisense to PRDM16"
"ENSG00000130762","ARHGEF16","1","protein_coding","Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol;Acc:HGNC:15515]"
"ENSG00000272088","AL512413.1","1","lncRNA","novel transcript"
"ENSG00000162591","MEGF6","1","protein_coding","multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232]"
"ENSG00000207776","MIR551A","1","miRNA","microRNA 551a [Source:HGNC Symbol;Acc:HGNC:32806]"
"ENSG00000238260","AL513320.1","1","lncRNA","novel transcript"
"ENSG00000158109","TPRG1L","1","protein_coding","tumor protein p63 regulated 1 like [Source:HGNC Symbol;Acc:HGNC:27007]"
"ENSG00000116213","WRAP73","1","protein_coding","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]"
"ENSG00000078900","TP73","1","protein_coding","tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]"
"ENSG00000227589","AL136528.1","1","lncRNA","novel transcript"
"ENSG00000235131","AL136528.2","1","lncRNA","novel transcript"
"ENSG00000227372","TP73-AS1","1","transcribed_unitary_pseudogene","TP73 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:29052]"
"ENSG00000276189","AL136528.3","1","misc_RNA","NULL"
"ENSG00000162592","CCDC27","1","protein_coding","coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]"
"ENSG00000235169","SMIM1","1","protein_coding","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]"
"ENSG00000130764","LRRC47","1","protein_coding","leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:HGNC:29207]"
"ENSG00000266075","RN7SL574P","1","misc_RNA","RNA, 7SL, cytoplasmic 574, pseudogene [Source:HGNC Symbol;Acc:HGNC:46590]"
"ENSG00000272153","AL365330.1","1","lncRNA","novel transcript, antisense to LRRC47"
"ENSG00000116198","CEP104","1","protein_coding","centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]"
"ENSG00000169598","DFFB","1","protein_coding","DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]"
"ENSG00000198912","C1orf174","1","protein_coding","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]"
"ENSG00000236423","LINC01134","1","lncRNA","long intergenic non-protein coding RNA 1134 [Source:HGNC Symbol;Acc:HGNC:49449]"
"ENSG00000233304","LINC01346","1","lncRNA","long intergenic non-protein coding RNA 1346 [Source:HGNC Symbol;Acc:HGNC:50563]"
"ENSG00000226374","LINC01345","1","lncRNA","long intergenic non-protein coding RNA 1345 [Source:HGNC Symbol;Acc:HGNC:50564]"
"ENSG00000284668","LINC02780","1","lncRNA","long intergenic non-protein coding RNA 2780 [Source:HGNC Symbol;Acc:HGNC:54300]"
"ENSG00000284703","AL805961.1","1","lncRNA","novel transcript"
"ENSG00000229280","EEF1DP6","1","processed_pseudogene","eukaryotic translation elongation factor 1 delta pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:51456]"
"ENSG00000235054","LINC01777","1","lncRNA","long intergenic non-protein coding RNA 1777 [Source:HGNC Symbol;Acc:HGNC:52567]"
"ENSG00000284694","AL355602.1","1","lncRNA","novel transcript"
"ENSG00000227169","Z98747.1","1","lncRNA","novel transcript"
"ENSG00000232596","LINC01646","1","lncRNA","long intergenic non-protein coding RNA 1646 [Source:HGNC Symbol;Acc:HGNC:52433]"
"ENSG00000196581","AJAP1","1","protein_coding","adherens junctions associated protein 1 [Source:HGNC Symbol;Acc:HGNC:30801]"
"ENSG00000287586","Z98886.1","1","lncRNA","novel transcript, antisense to AJAP1"
"ENSG00000284739","BX005132.1","1","lncRNA","novel transcript"
"ENSG00000284674","LINC02781","1","lncRNA","long intergenic non-protein coding RNA 2781 [Source:HGNC Symbol;Acc:HGNC:54301]"
"ENSG00000231510","LINC02782","1","lncRNA","long intergenic non-protein coding RNA 2782 [Source:HGNC Symbol;Acc:HGNC:54302]"
"ENSG00000284616","AL139823.1","1","lncRNA","novel transcript"
"ENSG00000284692","Z98259.3","1","lncRNA","novel transcript"
"ENSG00000284666","Z98259.2","1","lncRNA","novel transcript"
"ENSG00000260972","Z98259.1","1","lncRNA","novel transcript"
"ENSG00000283356","Z97988.2","1","unprocessed_pseudogene","mitochondrially encoded cytochrome c oxidase III (MT-CO3) pseudogene"
"ENSG00000236948","AL365255.1","1","lncRNA","novel transcript"
"ENSG00000264341","Z97988.1","1","miRNA","NULL"
"ENSG00000264101","MIR4689","1","miRNA","microRNA 4689 [Source:HGNC Symbol;Acc:HGNC:41895]"
"ENSG00000131697","NPHP4","1","protein_coding","nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]"
"ENSG00000069424","KCNAB2","1","protein_coding","potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]"
"ENSG00000116254","CHD5","1","protein_coding","chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16816]"
"ENSG00000285629","AL031847.2","1","protein_coding","novel transcript"
"ENSG00000116251","RPL22","1","protein_coding","ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]"
"ENSG00000226944","AL031847.1","1","lncRNA","novel transcript"
"ENSG00000158286","RNF207","1","protein_coding","ring finger protein 207 [Source:HGNC Symbol;Acc:HGNC:32947]"
"ENSG00000116237","ICMT","1","protein_coding","isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]"
"ENSG00000225077","LINC00337","1","lncRNA","long intergenic non-protein coding RNA 337 [Source:HGNC Symbol;Acc:HGNC:28620]"
"ENSG00000173673","HES3","1","protein_coding","hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]"
"ENSG00000158292","GPR153","1","protein_coding","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]"
"ENSG00000097021","ACOT7","1","protein_coding","acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]"
"ENSG00000271746","AL031848.2","1","lncRNA","novel transcript, antisense to ACOT7"
